# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Jan 12 04:34:25 2018
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [AU]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [AU]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i)Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i)Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i)Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN pl_k2flag:      K2 Mission Flag
# COLUMN pl_nnotes:      Number of Notes
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [sexagesimal]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [sexagesimal]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_distlim:     Distance Limit Flag
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_optmagerr:   Optical Magnitude Unc. [mag]
# COLUMN st_optmaglim:   Optical Magnitude Limit Flag
# COLUMN st_optmagblend: Optical Magnitude Blend Flag
# COLUMN st_optband:     Optical Magnitude Band
# COLUMN gaia_gmag:      G-band (Gaia) [mag]
# COLUMN gaia_gmagerr:   G-band (Gaia) Unc. [mag]
# COLUMN gaia_gmaglim:   G-band (Gaia) Limit Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_teffblend:   Effective Temperature Blend Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_massblend:   Stellar Mass Blend Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_radblend:    Stellar Radius Blend Flag
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_trandur:     Transit Duration [days]
# COLUMN pl_trandurerr1: Transit Duration Upper Unc. [days]
# COLUMN pl_trandurerr2: Transit Duration Lower Unc. [days]
# COLUMN pl_trandurlim:  Transit Duration Limit Flag
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_tranmiderr1: Transit Midpoint Upper Unc. [days]
# COLUMN pl_tranmiderr2: Transit Midpoint Lower Unc. [days]
# COLUMN pl_tranmidlim:  Transit Midpoint Limit Flag
# COLUMN pl_def_reflink: Default Reference
#
rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optmagblend,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffblend,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend,rowupdate,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_def_reflink
1557,Kepler-1441,b,Transit,1,39.44198390,0.00053270,-0.00053270,0,,,,,,,,,,,,,,,,,,0.117,0.020,-0.012,0,,,,,0,1,0,1,19h34m52.59s,293.719126,+43d07m28.5s,43.124590,751.00,121.64,-75.61,0,14.268,,0,,Kepler-band,,,,5802.00,122.74,-150.60,0,0,1.00,0.06,-0.06,0,0,1.00,0.16,-0.09,0,0,2016-05-10,0.3035400,0.0133300,-0.0133300,0,2455002.136700,0.010700,-0.010700,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...822...86M target=ref>Morton et al. 2016</a>
1558,Kepler-1442,b,Transit,1,81.41629410,0.00020260,-0.00020260,0,,,,,,,,,,,,,,,,,,0.351,0.037,-0.026,0,,,,,0,1,0,1,19h25m01.34s,291.255595,+48d50m49.1s,48.846970,525.00,45.34,-35.57,0,12.146,,0,,Kepler-band,,,,6394.00,77.00,-77.61,0,0,1.34,0.05,-0.05,0,0,1.44,0.13,-0.10,0,0,2016-05-10,0.5060170,0.0039330,-0.0039330,0,2454993.862660,0.002030,-0.002030,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...822...86M target=ref>Morton et al. 2016</a>
1559,Kepler-1443,b,Transit,1,2.41811321,0.00001443,-0.00001443,0,,,,,,,,,,,,,,,,,,0.087,0.020,-0.008,0,,,,,0,1,0,1,18h53m44.58s,283.435761,+47d04m00.7s,47.066855,475.00,44.73,-34.36,0,12.278,,0,,Kepler-band,,,,6289.00,83.36,-68.31,0,0,1.19,0.05,-0.05,0,0,1.27,0.12,-0.09,0,0,2016-05-10,0.0914200,0.0062500,-0.0062500,0,2454965.382810,0.004740,-0.004740,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...822...86M target=ref>Morton et al. 2016</a>
1560,Kepler-1444,b,Transit,1,33.42035034,0.00009305,-0.00009305,0,,,,,,,,,,,,,,,,,,0.194,0.037,-0.017,0,,,,,0,1,0,1,19h01m19.35s,285.330615,+42d02m25.6s,42.040436,340.00,39.28,-27.14,0,12.325,,0,,Kepler-band,,,,5810.00,85.52,-70.49,0,0,1.03,0.04,-0.04,0,0,1.05,0.12,-0.08,0,0,2016-05-10,0.2121290,0.0033750,-0.0033750,0,2454992.137230,0.002040,-0.002040,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...822...86M target=ref>Morton et al. 2016</a>
1561,Kepler-1445,b,Transit,1,10.60052251,0.00009265,-0.00009265,0,,,,,,,,,,,,,,,,,,0.086,0.018,-0.012,0,,,,,0,1,0,1,18h40m59.87s,280.249457,+43d54m54.2s,43.915066,482.00,98.61,-59.40,0,12.405,,0,,Kepler-band,,,,6150.00,71.30,-60.88,0,0,1.13,0.07,-0.06,0,0,1.26,0.26,-0.15,0,0,2016-05-10,0.1868300,0.0086200,-0.0086200,0,2454965.984570,0.006960,-0.006960,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...822...86M target=ref>Morton et al. 2016</a>
1562,Kepler-1446,b,Transit,1,0.68996783,0.00000050,-0.00000050,0,,,,,,,,,,,,,,,,,,0.073,0.004,-0.002,0,,,,,0,1,0,1,19h17m41.75s,289.423960,+46d43m34.2s,46.726170,162.00,3.62,-3.40,0,12.411,,0,,Kepler-band,,,,4865.00,43.69,-52.46,0,0,0.81,0.02,-0.02,0,0,0.75,0.01,-0.01,0,0,2016-05-10,0.0505630,0.0009080,-0.0009080,0,2454964.635244,0.000609,-0.000609,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...822...86M target=ref>Morton et al. 2016</a>
1563,Kepler-1447,b,Transit,1,56.67472850,0.00039780,-0.00039780,0,,,,,,,,,,,,,,,,,,0.259,0.045,-0.021,0,,,,,0,1,0,1,19h18m34.43s,289.643439,+50d43m37.5s,50.727089,871.00,144.68,-70.99,0,14.682,,0,,Kepler-band,,,,5722.00,108.69,-88.46,0,0,0.97,0.05,-0.06,0,0,0.95,0.16,-0.07,0,0,2016-05-10,0.2259200,0.0072900,-0.0072900,0,2454993.450070,0.005470,-0.005470,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...822...86M target=ref>Morton et al. 2016</a>
1564,Kepler-1448,b,Transit,1,12.27065865,0.00005885,-0.00005885,0,,,,,,,,,,,,,,,,,,0.144,0.019,-0.014,0,,,,,0,1,0,1,19h11m28.17s,287.867389,+50d35m44.1s,50.595585,786.00,100.86,-74.56,0,14.411,,0,,Kepler-band,,,,5774.00,89.88,-66.69,0,0,0.95,0.06,-0.07,0,0,0.93,0.12,-0.08,0,0,2016-05-10,0.1294200,0.0045800,-0.0045800,0,2454970.570440,0.003800,-0.003800,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...822...86M target=ref>Morton et al. 2016</a>
1565,Kepler-1449,b,Transit,1,13.22745280,0.00014470,-0.00014470,0,,,,,,,,,,,,,,,,,,0.150,0.033,-0.016,0,,,,,0,1,0,1,19h12m55.62s,288.231731,+50d34m04.4s,50.567886,1321.00,278.12,-136.23,0,15.050,,0,,Kepler-band,,,,5979.00,98.77,-97.37,0,0,1.08,0.07,-0.06,0,0,1.10,0.23,-0.11,0,0,2016-05-10,0.2543300,0.0121200,-0.0121200,0,2454970.721970,0.008860,-0.008860,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...822...86M target=ref>Morton et al. 2016</a>
1566,Kepler-145,b,Transit,2,22.95100000,,,0,,,,,,,,,,,,,0.11700,0.03600,-0.03600,0,Mass,0.236,0.007,-0.007,0,,,,,1,1,0,1,19h25m33.06s,291.387762,+44d31m44.8s,44.529106,,,,,11.931,,0,,Kepler-band,,,,6022.00,,,0,0,1.32,0.10,-0.10,0,0,1.85,0.05,-0.05,0,0,2014-05-14,,,,,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJS..210...25X target=ref>Xie 2014</a>
1567,Kepler-145,c,Transit,2,42.88200000,,,0,,,,,,,,,,,,,0.25000,0.05200,-0.05200,0,Mass,0.385,0.011,-0.011,0,,,,,1,1,0,1,19h25m33.06s,291.387762,+44d31m44.8s,44.529106,,,,,11.931,,0,,Kepler-band,,,,6022.00,,,0,0,1.32,0.10,-0.10,0,0,1.85,0.05,-0.05,0,0,2014-05-14,,,,,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJS..210...25X target=ref>Xie 2014</a>
1568,Kepler-1450,b,Transit,1,54.50941660,0.00052700,-0.00052700,0,,,,,,,,,,,,,,,,,,0.153,0.012,-0.010,0,,,,,0,1,0,1,19h38m12.92s,294.553828,+45d04m53.0s,45.081390,490.00,24.59,-28.91,0,15.498,,0,,Kepler-band,,,,4524.00,104.75,-94.04,0,0,0.71,0.03,-0.04,0,0,0.68,0.03,-0.04,0,0,2016-05-10,0.1759200,0.0097900,-0.0097900,0,2454973.826310,0.006670,-0.006670,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...822...86M target=ref>Morton et al. 2016</a>
1569,Kepler-1451,b,Transit,1,35.62223300,0.00020980,-0.00020980,0,,,,,,,,,,,,,,,,,,0.299,0.055,-0.059,0,,,,,0,1,0,1,19h33m47.14s,293.446425,+40d24m35.6s,40.409892,1159.00,205.94,-120.25,0,15.332,,0,,Kepler-band,,,,5782.00,133.65,-186.17,0,0,1.00,0.07,-0.07,0,0,0.99,0.18,-0.10,0,0,2016-05-10,0.2144200,0.0078800,-0.0078800,0,2454974.457910,0.005370,-0.005370,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...822...86M target=ref>Morton et al. 2016</a>
1570,Kepler-1452,b,Transit,1,42.91375100,0.00036890,-0.00036890,0,,,,,,,,,,,,,,,,,,0.241,0.035,-0.031,0,,,,,0,1,0,1,19h29m41.48s,292.422830,+38d15m58.8s,38.266328,974.00,136.99,-120.39,0,13.062,,0,,Kepler-band,,,,6101.00,90.21,-112.92,0,0,1.41,0.11,-0.14,0,0,2.06,0.28,-0.26,0,0,2016-05-10,0.2133800,0.0071700,-0.0071700,0,2454972.888540,0.007850,-0.007850,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...822...86M target=ref>Morton et al. 2016</a>
1571,Kepler-1453,b,Transit,1,47.16116960,0.00041760,-0.00041760,0,,,,,,,,,,,,,,,,,,0.238,0.039,-0.019,0,,,,,0,1,0,1,19h04m30.13s,286.125545,+47d56m51.4s,47.947613,1284.00,207.74,-95.22,0,15.570,,0,,Kepler-band,,,,5665.00,68.09,-70.11,0,0,0.97,0.04,-0.05,0,0,0.94,0.15,-0.07,0,0,2016-05-10,0.1691200,0.0070800,-0.0070800,0,2454983.253230,0.006090,-0.006090,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...822...86M target=ref>Morton et al. 2016</a>
1572,Kepler-1454,b,Transit,1,47.03194790,0.00066950,-0.00066950,0,,,,,,,,,,,,,,,,,,0.168,0.017,-0.015,0,,,,,0,1,0,1,18h56m53.60s,284.223331,+48d49m54.4s,48.831772,795.00,75.72,-49.36,0,14.904,,0,,Kepler-band,,,,5448.00,59.86,-64.34,0,0,0.90,0.04,-0.05,0,0,0.86,0.08,-0.05,0,0,2016-05-10,0.2460800,0.0120400,-0.0120400,0,2455008.474510,0.009360,-0.009360,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...822...86M target=ref>Morton et al. 2016</a>
1573,Kepler-1455,b,Transit,1,49.27676400,0.00037370,-0.00037370,0,,,,,,,,,,,,,,,,,,0.193,0.013,-0.014,0,,,,,0,1,0,1,19h36m19.93s,294.083055,+50d30m10.0s,50.502777,392.00,25.23,-33.31,0,15.855,,0,,Kepler-band,,,,4075.00,61.23,-57.40,0,0,0.62,0.03,-0.04,0,0,0.60,0.03,-0.04,0,0,2016-05-10,0.1540000,0.0075400,-0.0075400,0,2454990.025430,0.006250,-0.006250,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...822...86M target=ref>Morton et al. 2016</a>
1574,Kepler-1456,b,Transit,1,18.13738290,0.00018540,-0.00018540,0,,,,,,,,,,,,,,,,,,0.102,0.008,-0.013,0,,,,,0,1,0,1,19h07m46.88s,286.945321,+43d49m22.0s,43.822773,379.00,28.47,-58.55,0,15.464,,0,,Kepler-band,,,,4231.00,68.40,-85.61,0,0,0.64,0.05,-0.08,0,0,0.62,0.04,-0.07,0,0,2016-05-10,0.1479000,0.0094000,-0.0094000,0,2454969.808020,0.009490,-0.009490,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...822...86M target=ref>Morton et al. 2016</a>
1575,Kepler-1457,b,Transit,1,51.11102430,0.00037380,-0.00037380,0,,,,,,,,,,,,,,,,,,0.178,0.028,-0.018,0,,,,,0,1,0,1,18h55m04.94s,283.770601,+42d01m38.1s,42.027245,728.00,109.71,-76.76,0,14.060,,0,,Kepler-band,,,,5866.00,137.28,-119.79,0,0,1.01,0.07,-0.07,0,0,1.01,0.15,-0.10,0,0,2016-05-10,0.3327900,0.0076200,-0.0076200,0,2454976.771730,0.006080,-0.006080,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...822...86M target=ref>Morton et al. 2016</a>
1576,Kepler-1458,b,Transit,1,47.98727640,0.00017760,-0.00017760,0,,,,,,,,,,,,,,,,,,0.246,0.037,-0.019,0,,,,,0,1,0,1,18h52m50.79s,283.211614,+41d02m17.0s,41.038063,642.00,94.88,-53.51,0,14.190,,0,,Kepler-band,,,,5653.00,119.66,-136.13,0,0,0.96,0.05,-0.05,0,0,0.94,0.14,-0.07,0,0,2016-05-10,0.1981700,0.0053800,-0.0053800,0,2454993.650810,0.003290,-0.003290,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...822...86M target=ref>Morton et al. 2016</a>
1577,Kepler-1459,b,Transit,1,62.86916110,0.00095860,-0.00095860,0,,,,,,,,,,,,,,,,,,0.121,0.009,-0.007,0,,,,,0,1,0,1,18h49m41.53s,282.423025,+46d00m50.5s,46.014019,435.00,16.49,-20.55,0,14.591,,0,,Kepler-band,,,,4828.00,42.43,-40.76,0,0,0.78,0.03,-0.04,0,0,0.74,0.02,-0.03,0,0,2016-05-10,0.2407500,0.0132500,-0.0132500,0,2454999.020900,0.011000,-0.011000,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...822...86M target=ref>Morton et al. 2016</a>
1578,Kepler-146,b,Transit,2,31.15879900,0.00007900,-0.00007900,0,0.200000,,,0,,,,,,,,,,,,,,0.331,0.062,-0.062,0,,,,,0,1,0,1,19h36m26.58s,294.110756,+38d42m36.8s,38.710230,,,,,13.838,,0,,Kepler-band,,,,5948.00,100.00,-100.00,0,0,,,,,,1.21,0.23,-0.23,0,0,2014-05-14,0.2162000,0.0021000,-0.0021000,0,2455006.902720,0.001500,-0.001500,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>
1579,Kepler-146,c,Transit,2,76.73217100,0.00060900,-0.00060900,0,0.364000,,,0,,,,,,,,,,,,,,0.279,0.053,-0.053,0,,,,,0,1,0,1,19h36m26.58s,294.110756,+38d42m36.8s,38.710230,,,,,13.838,,0,,Kepler-band,,,,5948.00,100.00,-100.00,0,0,,,,,,1.21,0.23,-0.23,0,0,2014-05-14,0.2590000,0.0052000,-0.0052000,0,2455033.670820,0.003870,-0.003870,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>
1580,Kepler-1460,b,Transit,1,29.96332470,0.00021860,-0.00021860,0,,,,,,,,,,,,,,,,,,0.175,0.012,-0.012,0,,,,,0,1,0,1,19h02m13.87s,285.557796,+44d00m38.8s,44.010788,574.00,25.11,-40.55,0,15.947,,0,,Kepler-band,,,,4422.00,43.62,-45.02,0,0,0.70,0.03,-0.05,0,0,0.67,0.02,-0.04,0,0,2016-05-10,0.1096700,0.0061700,-0.0061700,0,2454982.941930,0.006230,-0.006230,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...822...86M target=ref>Morton et al. 2016</a>
1581,Kepler-1461,b,Transit,1,29.34947750,0.00018320,-0.00018320,0,,,,,,,,,,,,,,,,,,0.181,0.008,-0.014,0,,,,,0,1,0,1,19h03m19.31s,285.830458,+43d11m54.2s,43.198395,752.00,36.39,-44.47,0,15.689,,0,,Kepler-band,,,,4919.00,49.81,-58.16,0,0,0.79,0.04,-0.05,0,0,0.74,0.03,-0.04,0,0,2016-05-10,0.1752900,0.0060000,-0.0060000,0,2454981.464560,0.004770,-0.004770,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...822...86M target=ref>Morton et al. 2016</a>
1582,Kepler-1462,b,Transit,1,65.64883410,0.00066210,-0.00066210,0,,,,,,,,,,,,,,,,,,0.341,0.073,-0.035,0,,,,,0,1,0,1,19h45m35.41s,296.397527,+42d23m48.9s,42.396918,1368.00,281.39,-154.53,0,15.858,,0,,Kepler-band,,,,5756.00,144.59,-206.50,0,0,1.00,0.07,-0.07,0,0,1.00,0.21,-0.10,0,0,2016-05-10,0.3096200,0.0080800,-0.0080800,0,2455007.794190,0.007790,-0.007790,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...822...86M target=ref>Morton et al. 2016</a>
1583,Kepler-1463,b,Transit,1,25.15864000,0.00051230,-0.00051230,0,,,,,,,,,,,,,,,,,,0.166,0.029,-0.017,0,,,,,0,1,0,1,19h37m56.95s,294.487304,+42d00m24.9s,42.006920,1341.00,229.49,-124.82,0,15.759,,0,,Kepler-band,,,,5679.00,93.91,-125.80,0,0,0.96,0.05,-0.06,0,0,0.95,0.16,-0.08,0,0,2016-05-10,0.2158000,0.0137000,-0.0137000,0,2454986.050600,0.013300,-0.013300,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...822...86M target=ref>Morton et al. 2016</a>
1584,Kepler-1464,b,Transit,2,31.77859010,0.00027340,-0.00027340,0,,,,,,,,,,,,,,,,,,0.148,0.026,-0.014,0,,,,,0,1,0,1,19h08m56.56s,287.235677,+38d45m15.0s,38.754161,692.00,118.93,-68.73,0,14.159,,0,,Kepler-band,,,,5828.00,112.18,-169.63,0,0,1.02,0.06,-0.06,0,0,1.01,0.17,-0.09,0,0,2016-05-10,0.3356700,0.0083800,-0.0083800,0,2454969.768510,0.005510,-0.005510,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...822...86M target=ref>Morton et al. 2016</a>
1585,Kepler-1464,c,Transit,2,5.32786292,0.00005389,-0.00005389,0,,,,,,,,,,,,,,,,,,0.089,0.020,-0.010,0,,,,,0,1,0,1,19h08m56.56s,287.235677,+38d45m15.0s,38.754161,692.00,118.93,-68.73,0,14.159,,0,,Kepler-band,,,,5828.00,112.18,-169.63,0,0,1.02,0.06,-0.06,0,0,1.01,0.17,-0.09,0,0,2016-05-10,0.1949200,0.0091700,-0.0091700,0,2454966.548300,0.006420,-0.006420,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...822...86M target=ref>Morton et al. 2016</a>
1586,Kepler-1465,b,Transit,1,31.82771110,0.00012190,-0.00012190,0,,,,,,,,,,,,,,,,,,0.158,0.031,-0.017,0,,,,,0,1,0,1,19h19m16.64s,289.819341,+51d54m17.5s,51.904850,350.00,15.94,-21.93,0,14.410,,0,,Kepler-band,,,,4726.00,60.73,-75.37,0,0,0.75,0.04,-0.05,0,0,0.71,0.03,-0.04,0,0,2016-05-10,0.0660000,0.0042900,-0.0042900,0,2454967.598210,0.003320,-0.003320,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...822...86M target=ref>Morton et al. 2016</a>
1587,Kepler-1466,b,Transit,1,31.17504480,0.00021570,-0.00021570,0,,,,,,,,,,,,,,,,,,0.138,0.024,-0.015,0,,,,,0,1,0,1,19h19m19.49s,289.831222,+44d36m35.5s,44.609863,686.00,120.77,-75.59,0,13.926,,0,,Kepler-band,,,,5884.00,144.58,-128.07,0,0,1.01,0.07,-0.07,0,0,1.02,0.17,-0.10,0,0,2016-05-10,0.1653300,0.0070800,-0.0070800,0,2454992.095270,0.005970,-0.005970,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...822...86M target=ref>Morton et al. 2016</a>
1588,Kepler-1467,b,Transit,1,47.05690430,0.00018350,-0.00018350,0,,,,,,,,,,,,,,,,,,0.294,0.028,-0.022,0,,,,,0,1,0,1,19h40m11.65s,295.048540,+45d20m33.7s,45.342686,890.00,88.85,-71.04,0,15.549,,0,,Kepler-band,,,,5332.00,179.19,-173.73,0,0,0.86,0.06,-0.06,0,0,0.82,0.07,-0.06,0,0,2016-05-10,0.2196750,0.0040170,-0.0040170,0,2454994.059100,0.002790,-0.002790,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...822...86M target=ref>Morton et al. 2016</a>
1589,Kepler-1468,b,Transit,2,8.23984869,0.00003988,-0.00003988,0,,,,,,,,,,,,,,,,,,0.154,0.037,-0.017,0,,,,,0,1,0,1,19h34m04.76s,293.519844,+41d16m38.7s,41.277405,1130.00,198.65,-132.75,0,15.024,,0,,Kepler-band,,,,5893.00,162.90,-197.95,0,0,1.04,0.08,-0.07,0,0,1.05,0.18,-0.11,0,0,2016-05-10,0.2340400,0.0045400,-0.0045400,0,2454970.754570,0.003920,-0.003920,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...822...86M target=ref>Morton et al. 2016</a>
1590,Kepler-1468,c,Transit,2,3.54553021,0.00002273,-0.00002273,0,,,,,,,,,,,,,,,,,,0.103,0.022,-0.012,0,,,,,0,1,0,1,19h34m04.76s,293.519844,+41d16m38.7s,41.277405,1130.00,198.65,-132.75,0,15.024,,0,,Kepler-band,,,,5893.00,162.90,-197.95,0,0,1.04,0.08,-0.07,0,0,1.05,0.18,-0.11,0,0,2016-05-10,0.1737000,0.0062000,-0.0062000,0,2454965.376960,0.004530,-0.004530,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...822...86M target=ref>Morton et al. 2016</a>
1591,Kepler-1469,b,Transit,1,21.86353010,0.00012190,-0.00012190,0,,,,,,,,,,,,,,,,,,0.250,0.033,-0.023,0,,,,,0,1,0,1,19h35m17.13s,293.821357,+39d23m28.9s,39.391350,1255.00,166.57,-101.40,0,15.965,,0,,Kepler-band,,,,5507.00,128.40,-170.81,0,0,0.92,0.05,-0.05,0,0,0.89,0.12,-0.06,0,0,2016-05-10,0.1492500,0.0054600,-0.0054600,0,2454978.239990,0.004860,-0.004860,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...822...86M target=ref>Morton et al. 2016</a>
